,training,target,algs,NB,trainsize,targetsize
248,62,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
249,62,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
250,62,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
251,62,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
252,63,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
253,63,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
254,63,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
255,63,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
256,64,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
257,64,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
258,64,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
259,64,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
260,65,0,"('tdea', 'aes256')",0.4997100830078125,8192,65536
261,65,1,"('tdea', 'aes256')",0.49897003173828125,8192,65536
262,65,2,"('tdea', 'aes256')",0.5010910034179688,8192,65536
263,65,3,"('tdea', 'aes256')",0.49798583984375,8192,65536
264,66,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
265,66,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
266,66,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
267,66,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
268,67,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
269,67,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
270,67,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
271,67,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
272,68,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
273,68,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
274,68,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
275,68,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
276,69,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
277,69,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
278,69,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
279,69,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
280,70,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
281,70,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
282,70,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
283,70,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
284,71,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
285,71,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
286,71,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
287,71,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
288,72,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
289,72,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
290,72,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
291,72,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
292,73,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
293,73,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
294,73,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
295,73,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
296,74,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
297,74,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
298,74,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
299,74,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
300,75,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
301,75,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
302,75,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
303,75,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
304,76,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
305,76,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
306,76,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
307,76,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
308,77,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
309,77,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
310,77,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
311,77,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
312,78,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
313,78,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
314,78,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
315,78,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
316,79,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
317,79,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
318,79,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
319,79,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
320,80,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
321,80,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
322,80,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
323,80,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
324,81,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
325,81,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
326,81,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
327,81,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
328,82,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
329,82,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
330,82,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
331,82,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
332,83,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
333,83,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
334,83,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
335,83,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
336,84,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
337,84,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
338,84,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
339,84,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
340,85,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
341,85,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
342,85,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
343,85,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
344,86,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
345,86,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
346,86,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
347,86,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
348,87,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
349,87,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
350,87,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
351,87,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
352,88,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
353,88,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
354,88,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
355,88,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
356,89,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
357,89,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
358,89,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
359,89,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
360,90,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
361,90,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
362,90,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
363,90,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
364,91,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
365,91,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
366,91,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
367,91,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
368,92,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
369,92,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
370,92,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
371,92,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
372,93,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
373,93,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
374,93,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
375,93,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
376,94,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
377,94,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
378,94,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
379,94,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
380,95,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
381,95,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
382,95,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
383,95,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
384,96,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
385,96,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
386,96,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
387,96,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
388,97,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
389,97,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
390,97,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
391,97,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
392,98,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
393,98,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
394,98,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
395,98,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
396,99,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
397,99,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
398,99,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
399,99,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
400,100,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
401,100,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
402,100,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
403,100,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
404,101,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
405,101,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
406,101,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
407,101,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
408,102,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
409,102,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
410,102,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
411,102,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
